"time","resistor.v","booleanPulse.y","sineVoltage.v"
0,0,0,0
8e-5,8.167199347091213e-5,0,8.167281019084683
1.6e-4,1.6329240116023943e-4,0,16.329403408425105
2.4e-4,2.4480966986908264e-4,0,24.481211796578133
3.2e-4,3.2617231154333297e-4,0,32.61755732664484
4e-4,4.0732893579463106e-4,0,40.733300908398896
4.8e-4,4.882282823596369e-4,0,48.82331646424605
5.6e-4,5.688192534771126e-4,0,56.88249416696473
6.4e-4,6.490509461623613e-4,0,64.90574366718229
7.2e-4,7.288726843586451e-4,0,72.88799730854888
8e-4,8.082340509452686e-4,0,80.82421332857781
8.8e-4,8.870849195821116e-4,0,88.70937904313074
9.6e-4,9.653754863705002e-4,0,96.53851401253638
0.00104,0.0010430563013104181,0,104.30667318734312
0.00112,0.0011200782995341857,0,112.00895003171809
0.0012,0.0011963928322968806,0,119.64047962252036
0.00128,0.0012719516977039314,0,127.19644172209082
0.00136,0.0013467071711564624,0,134.6720638228174
0.00144,0.001420612035495177,0,142.0626241615532
0.00152,0.0014936196108237278,0,149.36345470198358
0.0016,0.0015656837839927353,0,156.5699440830575
0.00168,0.0016367590377258459,0,163.6775405316223
0.00176,0.0017068004793694181,0,170.6817547374212
0.00184,0.0017757638692476822,0,177.57816268863746
0.00192,0.0018436056486054726,0,184.36240846619586
0.002,0.0019102829671208672,0,191.03020699505382
0.00208,0.0019757537099703683,0,197.57734675074678
0.00216,0.002039976524429533,0,203.9996924194777
0.00224,0.002102910845992235,0,210.29318751006946
0.00232,0.0021645169239920786,0,216.45385691613183
0.0024,0.0022247558467097714,0,222.47780942682382
0.00248,0.0022835895659506006,0,228.361240184626
0.00256,0.002340980921076487,0,234.1004330885698
0.00264,0.0023968936624774407,0,239.69176314140654
0.00272,0.0024512924744675936,0,245.1316987392338
0.0028,0.0025041429975913403,0,250.4168039021316
0.00288,0.0025554118503255084,0,255.54374044440115
0.00296,0.0026050666501638473,0,260.5092700830349
0.00304,0.0026530760340705076,0,265.3102564830848
0.00312,0.0026994096782896083,0,269.94366723863914
0.0032,0.002744038317498375,0,274.40657578815495
0.00328,0.0027869337632917377,0,278.69616326293703
0.00336,0.0028280689219867387,0,282.8097202675958
0.00344,0.002867417811735481,0,286.7446485913598
0.00352,0.0029049555789358184,0,290.4984628491607
0.0036,0.0029406585139294243,0,294.06879205145634
0.00368,0.002974504065977322,0,297.4533811017982
0.00376,0.0030064708575034144,0,300.6500922211989
0.00384,0.0030365386975970132,0,303.6569062983989
0.00392,0.0030646885947658623,0,306.47192416518095
0.004,0.0030909027689315603,0,309.0933677959249
0.00408,0.003115164662659845,0,311.5195814306472
0.00416,0.0031374589516186243,0,313.74903262081403
0.00424,0.003157771554257148,0,315.78031319726904
0.00432,0.003176089640700222,0,317.6121401596629
0.0044,0.00319240164085183,0,319.2433564868238
0.00448,0.0032066972517030548,0,320.67293186755717
0.00456,0.003218967443839678,0,321.89996335141166
0.00464,0.0032292044671453565,0,322.92367591900273
0.00472,0.003237401855696754,0,323.74342297153106
0.0048,0.0032435544318475647,0,324.3586867391883
0.00488,0.0032476583094988203,0,324.7690786081915
0.00496,0.0032497108965534372,0,324.97433936624026
0.005,0.003249967500324997,0,325
0.005,0.003249967500324997,0,325
0.005000000100500048,0.0032499675003249953,0,325
0.005000000100500048,324.9967500324995,1,325
0.00504,324.9710896553437,1,324.97433936624026
0.00512,324.765830949882,1,324.7690786081915
0.0052,324.35544318475644,1,324.3586867391883
0.00528,323.74018556967536,1,323.74342297153106
0.00536,322.9204467145356,1,322.92367591900273
0.005400000100580034,322.43405229958523,1,322.4372766401082
0.005400000100580034,322.43405229958523,0,322.4372766401082
0.00544,321.8967443839678,0,321.89996335141166
0.00552,320.6697251703054,0,320.6729318675571
0.0056,319.240164085183,0,319.2433564868238
0.00568,317.6089640700222,0,317.6121401596629
0.00576,315.7771554257148,0,315.78031319726904
0.00584,313.7458951618624,0,313.74903262081403
0.00592,311.5164662659845,0,311.5195814306472
0.006,309.090276893156,0,309.0933677959249
0.00608,306.4688594765862,0,306.47192416518095
0.00616,303.6538697597013,0,303.6569062983989
0.00624,300.6470857503414,0,300.65009222119886
0.00632,297.45040659773224,0,297.45338110179824
0.0064,294.0658513929424,0,294.06879205145634
0.00648,290.4955578935818,0,290.4984628491607
0.00656,286.7417811735481,0,286.7446485913598
0.00664,282.8068921986738,0,282.80972026759576
0.00672,278.69337632917376,0,278.69616326293703
0.0068,274.4038317498375,0,274.40657578815495
0.00688,269.9409678289609,0,269.9436672386392
0.00696,265.30760340705075,0,265.3102564830848
0.00704,260.5066650163847,0,260.5092700830349
0.00712,255.54118503255086,0,255.54374044440118
0.0072,250.414299759134,0,250.4168039021316
0.00728,245.12924744675934,0,245.1316987392338
0.00736,239.68936624774406,0,239.69176314140654
0.00744,234.0980921076487,0,234.1004330885698
0.00752,228.35895659506002,0,228.36124018462598
0.0076,222.47558467097707,0,222.47780942682377
0.00768,216.45169239920793,0,216.4538569161319
0.00776,210.2910845992235,0,210.2931875100695
0.00784,203.99765244295338,0,203.9996924194778
0.00792,197.57537099703686,0,197.5773467507468
0.008,191.0282967120867,0,191.03020699505382
0.00808,184.3605648605472,0,184.36240846619583
0.00816,177.57638692476823,0,177.5781626886375
0.00824,170.6800479369417,0,170.68175473742107
0.00832,163.67590377258446,0,163.67754053162218
0.0084,156.56837839927346,0,156.56994408305744
0.00848,149.36196108237277,0,149.36345470198358
0.00856,142.0612035495178,0,142.06262416155332
0.00864,134.67071711564623,0,134.6720638228174
