"time","sineVoltage.v","booleanPulse.y","resistor.v"
0,0,0,0
7.91383771822565e-6,0.8080159367906081,0,0.008015936690591419
7.91383771822565e-6,0.8080159367906081,0,0.008015936690591419
8e-5,8.167281019084681,0,0.0810178877512957
1.6e-4,16.329403408425108,0,0.16197179685959995
2.4e-4,24.48121179657813,0,0.2428105974028476
3.2e-4,32.61755732664484,0,0.3234832317752847
4e-4,40.73330090839888,0,0.40393874528358964
4.8e-4,48.823316464246055,0,0.48412631858321475
5.6e-4,56.88249416696474,0,0.5639953077146558
6.4e-4,64.9057436671823,0,0.6434952690604376
7.2e-4,72.8879973085489,0,0.7225759909703697
8e-4,80.82421332857783,0,0.8011875264819963
8.8e-4,88.70937904313074,0,0.8792802245458375
9.6e-4,96.53851401253638,0,0.9568047618695346
0.00104,104.30667318734314,0,1.033712173273969
0.00112,112.0089500317181,0,1.1099538849420867
0.0012,119.64047962252037,0,1.1854817431297846
0.00128,127.19644172209084,0,1.2602480455885683
0.00136,134.6720638228174,0,1.334205571271582
0.00144,142.06262416155323,0,1.4073076079494342
0.00152,149.3634547019836,0,1.4795079854458777
0.0016,156.5699440830575,0,1.5507611022595142
0.00168,163.6775405316223,0,1.6210219555720187
0.00176,170.68175473742113,0,1.6902461690351913
0.00184,177.5781626886375,0,1.758390020955801
0.00192,184.36240846619586,0,1.8254104724824458
0.002,191.03020699505382,0,1.8912651936268503
0.00208,197.57734675074678,0,1.9559125917252231
0.00216,203.9996924194777,0,2.0193118354398507
0.00224,210.29318751006946,0,2.081422883023322
0.00232,216.45385691613183,0,2.14220650565872
0.0024,222.47780942682382,0,2.201624312979817
0.00248,228.361240184626,0,2.25963877799731
0.00256,234.1004330885698,0,2.316213259083753
0.00264,239.69176314140654,0,2.3713120250123723
0.00272,245.1316987392338,0,2.4249002759418943
0.0028,250.41680390213153,0,2.476944166346925
0.00288,255.54374044440115,0,2.527410825964864
0.00296,260.5092700830349,0,2.5762683806353266
0.003,262.93052317185794,0,2.600084060277595
0.003,262.93052317185794,0,2.600084060277595
0.0030000001003000487,262.93052919125586,0,2.600084119478254
0.0030000001003000487,262.93052919125586,1,262.12790790832975
0.00304,265.3102564830848,1,264.5076114031265
0.00312,269.94366723863914,1,269.14097582504183
0.0032,274.40657578815495,1,273.60383974592355
0.00328,278.6961632629371,1,277.89338432526483
0.00336,282.8097202675958,1,282.0069001947696
0.0034000001003800535,284.79967595173946,1,283.9968359795577
0.0034000001003800535,284.79967595173946,0,283.9968359795577
0.00344,286.74464859135986,0,285.9417891696485
0.00352,290.4984628491608,0,289.69556588968663
0.0036,294.0687920514564,0,293.26585938905146
0.00368,297.45338110179824,0,296.65041459384526
0.00376,300.6500922211989,0,299.84709374645826
0.00384,303.65690629839895,0,302.8538777558218
0.00392,306.471924165181,0,305.6688674727102
0.004,309.09336779592496,0,308.2902848892832
0.00408,311.51958143064724,0,310.71647426211484
0.00416,313.74903262081403,0,312.94590315799553
0.00424,315.78031319726904,0,314.97716342185055
0.00432,317.61214015966294,0,316.8089720661605
0.0044,319.24335648682387,0,318.4401720813235
0.00448,320.67293186755717,0,319.86973316644804
0.00456,321.89996335141166,0,321.09675238011226
0.00464,322.9236759190028,0,322.1204547106817
0.00472,323.74342297153106,0,322.9401935658229
0.0048,324.3586867391883,0,323.5554511809052
0.00488,324.76907860819153,0,323.96583894603185
0.00496,324.97433936624026,0,324.1710976514944
0.00504,324.97433936624026,0,324.171097651495
0.00512,324.7690786081915,0,323.96583894603367
0.0052,324.3586867391883,0,323.5554511809084
0.00528,323.743422971531,0,322.94019356582726
0.00536,322.9236759190027,0,322.1204547106873
0.00544,321.8999633514116,0,321.09675238011914
0.00552,320.67293186755705,0,319.8697331664561
0.0056,319.24335648682376,0,318.44017208133283
0.00568,317.61214015966283,0,316.80897206617107
0.00576,315.780313197269,0,314.97716342186254
0.00584,313.749032620814,0,312.9459031580087
0.00592,311.5195814306471,0,310.7164742621292
0.006,309.09336779592485,0,308.29028488929885
0.00608,306.47192416518084,0,305.6688674727271
0.00616,303.65690629839884,0,302.8538777558401
0.00624,300.6500922211988,0,299.84709374647775
0.00632,297.45338110179813,0,296.65041459386606
0.0064,294.0687920514563,0,293.2658593890735
0.00648,290.4984628491606,0,289.6955658897098
0.00656,286.7446485913597,0,285.94178916967303
0.00664,282.80972026759576,0,282.00690019479555
0.00672,278.6961632629369,0,277.8933843252919
0.0068,274.40657578815484,0,273.603839745952
0.00688,269.943667238639,0,269.1409758250715
0.00696,265.3102564830847,0,264.5076114031574
0.00704,260.50927008303466,0,259.70667301248716
0.00712,255.543740444401,0,254.74119302864898
0.0072,250.4168039021314,0,249.61430775522763
0.00728,245.13169873923357,0,244.32925544284828
0.00736,239.6917631414063,0,238.88937424382823
0.00744,234.10043308856962,0,233.298100103728
0.00752,228.3612401846258,0,227.55896459113418
0.0076,222.47780942682354,0,221.67559266704592
0.00768,216.45385691613168,0,215.6517003952714
0.00776,210.29318751006926,0,209.49109259528146
0.00784,203.99969241947758,0,203.19766043900572
0.00792,197.5773467507466,0,196.77537899308342
0.008,191.03020699505356,0,190.22830470812733
0.00808,184.36240846619572,0,183.56057285658198
0.00816,177.57816268863724,0,176.7763949207967
0.00824,170.68175473742082,0,169.88005593296393
0.00832,163.67754053162204,0,162.87591176860042
0.0084,156.56994408305707,0,155.7683863952827
0.00848,149.36345470198333,0,148.56196907837563
0.00856,142.06262416155292,0,141.26121154551387
0.00864,134.672063822817,0,133.87072511163558
0.00872,127.1964417220905,0,126.39517776637571
