"time","sineVoltage.v","booleanPulse.y"
0,0,0
7.91383771822565e-6,0.8080159367906081,0
7.91383771822565e-6,0.8080159367906081,0
8e-5,8.167281019084681,0
1.6e-4,16.329403408425108,0
2.4e-4,24.48121179657813,0
3.2e-4,32.61755732664484,0
4e-4,40.73330090839888,0
4.8e-4,48.823316464246055,0
5.6e-4,56.88249416696474,0
6.4e-4,64.9057436671823,0
7.2e-4,72.8879973085489,0
8e-4,80.82421332857783,0
8.8e-4,88.70937904313074,0
9.6e-4,96.53851401253638,0
0.00104,104.30667318734314,0
0.00112,112.0089500317181,0
0.0012,119.64047962252037,0
0.00128,127.19644172209084,0
0.00136,134.6720638228174,0
0.00144,142.06262416155323,0
0.00152,149.3634547019836,0
0.0016,156.5699440830575,0
0.00168,163.6775405316223,0
0.00176,170.68175473742113,0
0.00184,177.5781626886375,0
0.00192,184.36240846619586,0
0.002,191.03020699505382,0
0.00208,197.57734675074678,0
0.00216,203.9996924194777,0
0.00224,210.29318751006946,0
0.00232,216.45385691613183,0
0.0024,222.47780942682382,0
0.00248,228.361240184626,0
0.00256,234.1004330885698,0
0.00264,239.69176314140654,0
0.00272,245.1316987392338,0
0.0028,250.41680390213153,0
0.00288,255.54374044440115,0
0.00296,260.5092700830349,0
0.003,262.93052317185794,0
0.003,262.93052317185794,0
0.0030000001003000487,262.93052919125586,0
0.0030000001003000487,262.93052919125586,1
0.00304,265.3102564830848,1
0.00312,269.94366723863914,1
0.0032,274.40657578815495,1
0.00328,278.6961632629371,1
0.00336,282.8097202675958,1
0.0034000001003800535,284.79967595173946,1
0.0034000001003800535,284.79967595173946,0
0.00344,286.74464859135986,0
0.00352,290.4984628491608,0
0.0036,294.0687920514564,0
0.00368,297.45338110179824,0
0.00376,300.6500922211989,0
0.00384,303.65690629839895,0
0.00392,306.471924165181,0
0.004,309.09336779592496,0
0.00408,311.51958143064724,0
0.00416,313.74903262081403,0
0.00424,315.78031319726904,0
0.00432,317.61214015966294,0
0.0044,319.24335648682387,0
0.00448,320.67293186755717,0
0.00456,321.89996335141166,0
0.00464,322.9236759190028,0
0.00472,323.74342297153106,0
0.0048,324.3586867391883,0
0.00488,324.76907860819153,0
0.00496,324.97433936624026,0
0.00504,324.97433936624026,0
0.00512,324.7690786081915,0
0.0052,324.3586867391883,0
0.00528,323.743422971531,0
0.00536,322.9236759190027,0
0.00544,321.8999633514116,0
0.00552,320.67293186755705,0
0.0056,319.24335648682376,0
0.00568,317.61214015966283,0
0.00576,315.780313197269,0
0.00584,313.749032620814,0
0.00592,311.5195814306471,0
0.006,309.09336779592485,0
0.00608,306.47192416518084,0
0.00616,303.65690629839884,0
0.00624,300.6500922211988,0
0.00632,297.45338110179813,0
0.0064,294.0687920514563,0
0.00648,290.4984628491606,0
0.00656,286.7446485913597,0
0.00664,282.80972026759576,0
0.00672,278.6961632629369,0
0.0068,274.40657578815484,0
0.00688,269.943667238639,0
0.00696,265.3102564830847,0
0.00704,260.50927008303466,0
0.00712,255.543740444401,0
0.0072,250.4168039021314,0
0.00728,245.13169873923357,0
0.00736,239.6917631414063,0
0.00744,234.10043308856962,0
0.00752,228.3612401846258,0
0.0076,222.47780942682354,0
0.00768,216.45385691613168,0
0.00776,210.29318751006926,0
0.00784,203.99969241947758,0
0.00792,197.5773467507466,0
0.008,191.03020699505356,0
0.00808,184.36240846619572,0
0.00816,177.57816268863724,0
0.00824,170.68175473742082,0
0.00832,163.67754053162204,0
0.0084,156.56994408305707,0
0.00848,149.36345470198333,0
0.00856,142.06262416155292,0
0.00864,134.672063822817,0
0.00872,127.1964417220905,0
0.0088,119.64047962252,0
0.00888,112.00895003171763,0
0.00896,104.30667318734274,0
0.00904,96.53851401253593,0
0.00912,88.70937904313023,0
0.0092,80.8242133285774,0
0.00928,72.88799730854855,0
0.00936,64.90574366718201,0
0.00944,56.88249416696452,0
0.00952,48.82331646424578,0
0.0096,40.73330090839868,0
0.00968,32.61755732664444,0
0.00976,24.481211796577806,0
0.00984,16.329403408424707,0
0.00992,8.167281019084212,0
0.00999216864136816,0.7995947025611834,0
0.00999216864136816,0.7995947025611834,0
0.01,-3.9318595863152205e-13,0
0.010007996315437195,-0.8164370308625098,0
0.010007996315437195,-0.8164370308625098,0
0.01008,-8.167281019085,0
0.01016,-16.32940340842549,0
0.01024,-24.481211796578734,0
0.01032,-32.6175573266455,0
0.0104,-40.73330090839933,0
0.01048,-48.82331646424642,0
0.01056,-56.88249416696501,0
0.01064,-64.90574366718265,0
0.01072,-72.88799730854917,0
0.0108,-80.82421332857788,0
0.01088,-88.7093790431307,0
0.01096,-96.53851401253655,0
0.01104,-104.30667318734321,0
0.01112,-112.00895003171824,0
0.0112,-119.6404796225206,0
0.01128,-127.19644172209097,0
0.01136,-134.67206382281745,0
0.01144,-142.06262416155323,0
0.01152,-149.36345470198378,0
0.0116,-156.56994408305763,0
0.01168,-163.67754053162247,0
0.01176,-170.68175473742136,0
0.01184,-177.57816268863778,0
0.01192,-184.36240846619623,0
0.012,-191.03020699505421,0
0.01208,-197.5773467507472,0
0.01216,-203.99969241947804,0
0.01224,-210.29318751006986,0
0.01232,-216.45385691613225,0
0.0124,-222.47780942682414,0
0.01248,-228.36124018462635,0
0.01256,-234.10043308857004,0
0.01264,-239.69176314140685,0
0.01272,-245.1316987392341,0
0.0128,-250.4168039021319,0
0.01288,-255.54374044440158,0
0.01296,-260.5092700830352,0
0.013,-262.9305231718582,0
0.013,-262.9305231718582,1
0.01304,-265.3102564830851,1
0.01312,-269.9436672386394,1
0.0132,-274.4065757881553,1
0.01328,-278.6961632629374,1
0.01336,-282.80972026759594,1
0.01340000010138011,-284.7996760009304,1
0.01340000010138011,-284.7996760009304,0
0.01344,-286.74464859136026,0
0.01352,-290.498462849161,0
0.0136,-294.0687920514566,0
0.01368,-297.4533811017986,0
0.01376,-300.6500922211992,0
0.01384,-303.6569062983992,0
0.01392,-306.4719241651812,0
0.014,-309.0933677959251,0
0.01408,-311.51958143064735,0
0.01416,-313.7490326208142,0
0.01424,-315.7803131972692,0
0.01432,-317.61214015966306,0
0.0144,-319.2433564868239,0
0.01448,-320.6729318675572,0
0.01456,-321.89996335141177,0
0.01464,-322.92367591900285,0
0.01472,-323.7434229715311,0
0.0148,-324.35868673918833,0
0.01488,-324.76907860819153,0
0.01496,-324.97433936624026,0
0.01504,-324.97433936624026,0
0.01512,-324.7690786081915,0
0.0152,-324.3586867391882,0
0.01528,-323.743422971531,0
0.01536,-322.9236759190027,0
0.01544,-321.89996335141154,0
0.01552,-320.672931867557,0
0.0156,-319.2433564868237,0
0.01568,-317.6121401596628,0
0.01576,-315.7803131972688,0
0.01584,-313.74903262081375,0
0.01592,-311.51958143064684,0
0.016,-309.0933677959247,0
0.01608,-306.47192416518067,0
0.01616,-303.6569062983986,0
0.01624,-300.65009222119846,0
0.01632,-297.4533811017978,0
0.0164,-294.0687920514561,0
0.01648,-290.4984628491603,0
0.01656,-286.74464859135946,0
0.01664,-282.8097202675953,0
0.01672,-278.6961632629365,0
0.0168,-274.40657578815427,0
0.01688,-269.94366723863874,0
0.01696,-265.31025648308434,0
0.01704,-260.5092700830344,0
0.01712,-255.54374044440058,0
0.0172,-250.41680390213088,0
0.01728,-245.13169873923303,0
0.01736,-239.69176314140577,0
0.01744,-234.10043308856893,0
0.01752,-228.3612401846253,0
0.0176,-222.4778094268231,0
0.01768,-216.45385691613097,0
0.01776,-210.29318751006852,0
0.01784,-203.99969241947693,0
0.01792,-197.5773467507457,0
0.018,-191.0302069950531,0
0.01808,-184.3624084661949,0
0.01816,-177.57816268863667,0
0.01824,-170.68175473742,0
0.01832,-163.67754053162136,0
0.0184,-156.5699440830562,0
0.01848,-149.36345470198273,0
0.01856,-142.0626241615523,0
0.01864,-134.6720638228164,0
0.01872,-127.19644172208974,0
0.0188,-119.64047962251922,0
0.01888,-112.00895003171739,0
0.01896,-104.30667318734181,0
0.01904,-96.53851401253556,0
0.01912,-88.70937904312956,0
0.0192,-80.82421332857687,0
0.01928,-72.8879973085476,0
0.01936,-64.9057436671812,0
0.01944,-56.882494166963276,0
0.01952,-48.82331646424511,0
0.0196,-40.73330090839759,0
0.01968,-32.617557326643755,0
0.01976,-24.48121179657669,0
0.01984,-16.329403408423882,0
0.01992,-8.167281019083674,0
0.019992087789617342,-0.8078497834752021,0
0.019992087789617342,-0.8078497834752021,0
0.02,1.075029903665585e-12,0
0.020007915466240412,0.80818221126129,0
0.020007915466240412,0.80818221126129,0
0.02008,8.167281019086113,0
0.02016,16.329403408426604,0
0.02024,24.4812117965797,0
0.02032,32.61755732664647,0
0.0204,40.73330090840057,0
0.02048,48.823316464247796,0
0.02056,56.88249416696625,0
0.02064,64.90574366718415,0
0.02072,72.88799730855054,0
0.0208,80.82421332857952,0
0.02088,88.70937904313246,0
0.02096,96.53851401253789,0
0.02104,104.30667318734467,0
0.02112,112.00895003171969,0
0.0212,119.64047962252204,0
0.02128,127.19644172209252,0
0.02136,134.67206382281913,0
0.02144,142.06262416155502,0
0.02152,149.3634547019854,0
0.0216,156.5699440830591,0
0.02168,163.67754053162395,0
0.02176,170.6817547374228,0
0.02184,177.57816268863894,0
0.02192,184.36240846619765,0
0.022,191.0302069950551,0
0.02208,197.5773467507486,0
0.02216,203.99969241947906,0
0.02224,210.29318751007102,0
0.02232,216.4538569161332,0
0.0224,222.4778094268255,0
0.02248,228.36124018462726,0
0.02256,234.100433088571,0
0.02264,239.6917631414078,0
0.02272,245.13169873923485,0
0.0228,250.4168039021328,0
0.02288,255.5437404444021,0
0.02296,260.50927008303603,0
0.023,262.930523171859,0
0.023,262.930523171859,1
0.02304,265.3102564830856,1
0.02312,269.9436672386401,1
0.0232,274.40657578815575,1
0.02328,278.69616326293794,1
0.02336,282.8097202675966,1
0.0234000001023803,284.79967605012814,1
0.0234000001023803,284.79967605012814,0
0.02344,286.7446485913608,0
0.02352,290.4984628491615,0
0.0236,294.06879205145725,0
0.02368,297.453381101799,0
0.02376,300.6500922211996,0
0.02384,303.6569062983997,0
0.02392,306.47192416518163,0
0.024,309.0933677959256,0
0.02408,311.51958143064775,0
0.02416,313.74903262081455,0
0.02424,315.78031319726955,0
0.02432,317.61214015966334,0
0.0244,319.2433564868242,0
0.02448,320.67293186755745,0
0.02456,321.89996335141194,0
0.02464,322.92367591900296,0
0.02472,323.74342297153123,0
0.0248,324.3586867391884,0
0.02488,324.7690786081916,0
0.02496,324.97433936624026,0
0.02504,324.9743393662402,0
0.02512,324.7690786081914,0
0.0252,324.3586867391881,0
0.02528,323.7434229715309,0
0.02536,322.9236759190025,0
0.02544,321.8999633514114,0
0.02552,320.6729318675568,0
0.0256,319.2433564868235,0
0.02568,317.61214015966243,0
0.02576,315.7803131972686,0
0.02584,313.74903262081347,0
0.02592,311.51958143064655,0
0.026,309.0933677959244,0
0.02608,306.4719241651802,0
0.02616,303.65690629839827,0
0.02624,300.65009222119795,0
0.02632,297.45338110179745,0
0.0264,294.0687920514555,0
0.02648,290.4984628491598,0
0.02656,286.7446485913588,0
0.02664,282.80972026759474,0
0.02672,278.6961632629361,0
0.0268,274.406575788154,0
0.02688,269.9436672386381,0
0.02696,265.3102564830837,0
0.02704,260.5092700830337,0
0.02712,255.54374044439987,0
0.0272,250.41680390213054,0
0.02728,245.13169873923232,0
0.02736,239.6917631414054,0
0.02744,234.10043308856814,0
0.02752,228.36124018462473,0
0.0276,222.47780942682246,0
0.02768,216.45385691613035,0
0.02776,210.2931875100679,0
0.02784,203.99969241947608,0
0.02792,197.57734675074553,0
0.028,191.03020699505248,0
0.02808,184.36240846619447,0
0.02816,177.57816268863598,0
0.02824,170.68175473741957,0
0.02832,163.67754053162062,0
0.0284,156.56994408305576,0
0.02848,149.36345470198177,0
0.02856,142.0626241615513,0
0.02864,134.67206382281537,0
0.02872,127.19644172208926,0
0.0288,119.64047962251871,0
0.02888,112.00895003171635,0
0.02896,104.30667318734132,0
0.02904,96.53851401253449,0
0.02912,88.70937904312933,0
0.0292,80.82421332857636,0
0.02928,72.88799730854736,0
0.02936,64.90574366718067,0
0.02944,56.882494166963035,0
0.02952,48.823316464244286,0
0.0296,40.733300908397055,0
0.02968,32.617557326643514,0
0.02976,24.481211796576158,0
0.02984,16.329403408423634,0
0.02992,8.167281019083138,0
0.029992167045024123,0.7997576916041276,0
0.029992167045024123,0.7997576916041276,0
0.03,-1.6125448554983773e-12,0
0.030007994719143446,-0.8162740469747058,0
0.030007994719143446,-0.8162740469747058,0
0.03008,-8.167281019086362,0
0.03016,-16.329403408426852,0
0.03024,-24.481211796580524,0
0.03032,-32.61755732664672,0
0.0304,-40.73330090840139,0
0.03048,-48.82331646424805,0
0.03056,-56.88249416696735,0
0.03064,-64.90574366718496,0
0.03072,-72.88799730855162,0
0.0308,-80.82421332858115,0
0.03088,-88.70937904313409,0
0.03096,-96.53851401253978,0
0.03104,-104.30667318734655,0
0.03112,-112.00895003172208,0
0.0312,-119.64047962252388,0
0.03128,-127.19644172209435,0
0.03136,-134.6720638228204,0
0.03144,-142.0626241615563,0
0.03152,-149.36345470198614,0
0.0316,-156.56994408306008,0
0.03168,-163.67754053162443,0
0.03176,-170.68175473742377,0
0.03184,-177.57816268863917,0
0.03192,-184.36240846619808,0
0.032,-191.03020699505555,0
0.03208,-197.5773467507481,0
0.03216,-203.99969241947903,0
0.03224,-210.2931875100708,0
0.03232,-216.45385691613316,0
0.0324,-222.47780942682442,0
