"time","booleanPulse.y","sineVoltage.v"
0,0,0
8e-5,0,8.167281019084683
1.6e-4,0,16.329403408425105
2.4e-4,0,24.481211796578133
3.2e-4,0,32.61755732664484
4e-4,0,40.733300908398896
4.8e-4,0,48.82331646424605
5.6e-4,0,56.88249416696473
6.4e-4,0,64.90574366718229
7.2e-4,0,72.88799730854888
8e-4,0,80.82421332857781
8.8e-4,0,88.70937904313074
9.6e-4,0,96.53851401253638
0.00104,0,104.30667318734312
0.00112,0,112.00895003171809
0.0012,0,119.64047962252036
0.00128,0,127.19644172209082
0.00136,0,134.6720638228174
0.00144,0,142.0626241615532
0.00152,0,149.36345470198358
0.0016,0,156.5699440830575
0.00168,0,163.6775405316223
0.00176,0,170.6817547374212
0.00184,0,177.57816268863746
0.00192,0,184.36240846619586
0.002,0,191.03020699505382
0.00208,0,197.57734675074678
0.00216,0,203.9996924194777
0.00224,0,210.29318751006946
0.00232,0,216.45385691613183
0.0024,0,222.47780942682382
0.00248,0,228.361240184626
0.00256,0,234.1004330885698
0.00264,0,239.69176314140654
0.00272,0,245.1316987392338
0.0028,0,250.4168039021316
0.00288,0,255.54374044440115
0.00296,0,260.5092700830349
0.00304,0,265.3102564830848
0.00312,0,269.94366723863914
0.0032,0,274.40657578815495
0.00328,0,278.69616326293703
0.00336,0,282.8097202675958
0.00344,0,286.7446485913598
0.00352,0,290.4984628491607
0.0036,0,294.06879205145634
0.00368,0,297.4533811017982
0.00376,0,300.6500922211989
0.00384,0,303.6569062983989
0.00392,0,306.47192416518095
0.004,0,309.0933677959249
0.00408,0,311.5195814306472
0.00416,0,313.74903262081403
0.00424,0,315.78031319726904
0.00432,0,317.6121401596629
0.0044,0,319.2433564868238
0.00448,0,320.67293186755717
0.00456,0,321.89996335141166
0.00464,0,322.92367591900273
0.00472,0,323.74342297153106
0.0048,0,324.3586867391883
0.00488,0,324.7690786081915
0.00496,0,324.97433936624026
0.005,0,325
0.005,0,325
0.005000000100500048,0,325
0.005000000100500048,1,325
0.00504,1,324.97433936624026
0.00512,1,324.7690786081915
0.0052,1,324.3586867391883
0.00528,1,323.74342297153106
0.00536,1,322.92367591900273
0.005400000100580034,1,322.4372766401082
0.005400000100580034,0,322.4372766401082
0.00544,0,321.89996335141166
0.00552,0,320.6729318675571
0.0056,0,319.2433564868238
0.00568,0,317.6121401596629
0.00576,0,315.78031319726904
0.00584,0,313.74903262081403
0.00592,0,311.5195814306472
0.006,0,309.0933677959249
0.00608,0,306.47192416518095
0.00616,0,303.6569062983989
0.00624,0,300.65009222119886
0.00632,0,297.45338110179824
0.0064,0,294.06879205145634
0.00648,0,290.4984628491607
0.00656,0,286.7446485913598
0.00664,0,282.80972026759576
0.00672,0,278.69616326293703
0.0068,0,274.40657578815495
0.00688,0,269.9436672386392
0.00696,0,265.3102564830848
0.00704,0,260.5092700830349
0.00712,0,255.54374044440118
0.0072,0,250.4168039021316
0.00728,0,245.1316987392338
0.00736,0,239.69176314140654
0.00744,0,234.1004330885698
0.00752,0,228.36124018462598
0.0076,0,222.47780942682377
0.00768,0,216.4538569161319
0.00776,0,210.2931875100695
0.00784,0,203.9996924194778
0.00792,0,197.5773467507468
0.008,0,191.03020699505382
0.00808,0,184.36240846619583
0.00816,0,177.5781626886375
0.00824,0,170.68175473742107
0.00832,0,163.67754053162218
0.0084,0,156.56994408305744
0.00848,0,149.36345470198358
0.00856,0,142.06262416155332
0.00864,0,134.6720638228174
0.00872,0,127.19644172209077
0.0088,0,119.6404796225204
0.00888,0,112.00895003171804
0.00896,0,104.30667318734301
0.00904,0,96.53851401253635
0.00912,0,88.70937904313064
0.0092,0,80.82421332857767
0.00928,0,72.88799730854896
0.00936,0,64.90574366718229
0.00944,0,56.882494166964946
0.00952,0,48.82331646424621
0.0096,0,40.733300908398974
0.00968,0,32.617557326645006
0.00976,0,24.48121179657824
0.00984,0,16.32940340842514
0.00992,0,8.167281019084934
0.01,0,3.284590073748297e-13
0.01,0,-1.3158824077858626e-10
0.01,0,-1.3158824077858626e-10
0.01008,0,-8.167281019084422
0.01016,0,-16.329403408424916
0.01024,0,-24.481211796578012
0.01032,0,-32.61755732664464
0.0104,0,-40.73330090839861
0.01048,0,-48.8233164642457
0.01056,0,-56.8824941669643
0.01064,0,-64.90574366718194
0.01072,0,-72.8879973085486
0.0108,0,-80.82421332857746
0.01088,0,-88.70937904313043
0.01096,0,-96.53851401253613
0.01104,0,-104.3066731873428
0.01112,0,-112.00895003171783
0.0112,0,-119.64047962252017
0.01128,0,-127.19644172209043
0.01136,0,-134.67206382281694
0.01144,0,-142.06262416155272
0.01152,0,-149.36345470198313
0.0116,0,-156.56994408305712
0.01168,0,-163.67754053162187
0.01176,0,-170.68175473742065
0.01184,0,-177.57816268863706
0.01192,0,-184.36240846619555
0.012,0,-191.03020699505336
0.01208,0,-197.57734675074641
0.01216,0,-203.9996924194774
0.01224,0,-210.2931875100691
0.01232,0,-216.4538569161315
0.0124,0,-222.4778094268234
0.01248,0,-228.36124018462561
0.01256,0,-234.10043308856942
0.01264,0,-239.69176314140617
0.01272,0,-245.13169873923343
0.0128,0,-250.4168039021312
0.01288,0,-255.54374044440087
0.01296,0,-260.50927008303466
0.01304,0,-265.3102564830846
0.01312,0,-269.94366723863897
0.0132,0,-274.4065757881548
0.01328,0,-278.6961632629368
0.01336,0,-282.80972026759554
0.01344,0,-286.7446485913596
0.01352,0,-290.4984628491605
0.0136,0,-294.06879205145617
0.01368,0,-297.4533811017981
0.01376,0,-300.65009222119863
0.01384,0,-303.6569062983987
0.01392,0,-306.47192416518084
0.014,0,-309.0933677959248
0.01408,0,-311.51958143064707
0.01416,0,-313.74903262081386
0.01424,0,-315.7803131972689
0.01432,0,-317.61214015966283
0.0144,0,-319.2433564868237
0.01448,0,-320.67293186755705
0.01456,0,-321.8999633514116
0.01464,0,-322.9236759190027
0.01472,0,-323.743422971531
0.0148,0,-324.3586867391882
0.01488,0,-324.7690786081915
0.01496,0,-324.97433936624026
0.015,0,-325
0.015,1,-325
0.01504,1,-324.97433936624026
0.01512,1,-324.76907860819153
0.0152,1,-324.3586867391883
0.01528,1,-323.7434229715311
0.01536,1,-322.92367591900285
0.015400000101580052,1,-322.4372766273113
0.015400000101580052,0,-322.4372766273113
0.01544,0,-321.8999633514117
0.01552,0,-320.6729318675573
0.0156,0,-319.2433564868239
0.01568,0,-317.612140159663
0.01576,0,-315.7803131972692
0.01584,0,-313.7490326208142
0.01592,0,-311.51958143064735
0.016,0,-309.09336779592513
0.01608,0,-306.4719241651812
0.01616,0,-303.65690629839906
0.01624,0,-300.65009222119903
0.01632,0,-297.45338110179847
0.0164,0,-294.06879205145674
0.01648,0,-290.49846284916094
0.01656,0,-286.7446485913602
0.01664,0,-282.80972026759605
0.01672,0,-278.6961632629373
0.0168,0,-274.40657578815507
0.01688,0,-269.94366723863936
0.01696,0,-265.3102564830852
0.01704,0,-260.50927008303523
